sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-88	88	Adults	3	NA	NA	FALSE	Adults	Free-flying	NA	2022	41	19.014	5.124961809	Female											
EW-67	67	Food	13	NA	I	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-63	63	Food	13	NA	F	FALSE	Pollen_provision	NA	NA	2022	67	14.007	6.654750993	NA											
EW-65	65	Food	13	NA	G	FALSE	Pollen_provision	NA	NA	2022	68	14.573	6.481820959	NA											
EW-69	69	Adults	14	NA	NA	FALSE	Adults	Free-flying	NA	2022	11	18.683	5.22609227	Female											
EW-82	82	Food	14	NA	F	FALSE	Pollen_provision	NA	NA	2022	29	14.11	6.623281393	NA											
EW-70	70	Prepupae	14	7	A	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-71	71	Nest_contents	14	NA	A	FALSE	CocoonFrass	NA	NA	2022		NA	NA	NA											
EW-72	72	Food	14	NA	A	FALSE	Pollen	NA	NA	2022		NA	NA	NA											
EW-73	73	Prepupae	14	6	B	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-74	74	Food	14	NA	B	FALSE	Pollen	NA	NA	2022		NA	NA	NA											
EW-75	75	Larvae	14	3	C	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-76	76	Food	14	NA	C	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-77	77	Larvae	14	2	D	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-78	78	Food	14	NA	D	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-79	79	Eggs	14	NA	E	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-81	81	Eggs	14	NA	F	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-86	86	Adults	1	NA	NA	FALSE	Adults	Free-flying	NA	2022		NA	NA	Female											
EW-87	87	Adults	2	NA	NA	FALSE	Adults	Free-flying	NA	2022		NA	NA	Female											
EW-83	83	Food	14	NA	G	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-89	89	Adults	4	NA	NA	FALSE	Adults	Free-flying	NA	2022		NA	NA	Female											
EW-84	84	Food	14	NA	H	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-105	105	Adults	2	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	102	26.683	2.781851512	Male											
EW-106	106	Adults	2	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	168	27.601	2.501374885	Male											
EW-93	93	Pupa	NA	NA	NA	FALSE	Pupa	NA	NA	2022		NA	NA	NA											
EW-94	94	Nest_contents	NA	NA	NA	FALSE	CocoonFrass	NA	NA	2022		NA	NA	NA											
EW-95	95	Nest_contents	NA	NA	NA	FALSE	FrassPlug	NA	NA	2022		NA	NA	NA											
EW-96	96	Excretion	NA	NA	NA	FALSE	Excretion	NA	NA	2023		NA	NA	NA											
EW-97	97	Pupa	1	NA	NA	FALSE	Pupa	NA	NA	2023		NA	NA	NA											
EW-EBC10	EBC10	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022	71	28.398	2.2578674	NA											
